order_id,invoice_id,customer_name,ledger_amount,ledger_date,ledger_status
ORD-2026030,INV-1030,Ananya Iyer,14728.4,2026-09-08 08:05:45,COMPLETED
ORD-2026031,INV-1031,Vikram Singh,2990.4,2026-09-12 10:05:45,COMPLETED
ORD-2026032,INV-1032,Sneha Rao,6076.57,2026-09-13 10:05:45,COMPLETED
ORD-2026033,INV-1033,Vikram Singh,16070.94,2026-09-08 03:05:45,COMPLETED
ORD-2026034,INV-1034,Vikram Singh,17804.06,2026-09-15 02:05:45,COMPLETED
ORD-2026035,INV-1035,Priya Patel,1719.06,2026-09-15 03:05:45,COMPLETED
ORD-2026036,INV-1036,Meera Joshi,8632.16,2026-09-22 10:05:45,COMPLETED
ORD-2026037,INV-1037,Priya Patel,4620.26,2026-09-16 01:05:45,COMPLETED
ORD-2026038,INV-1038,Priya Patel,3093.6,2026-09-11 09:05:45,COMPLETED
ORD-2026039,INV-1039,Aditya Verma,10450.2,2026-09-09 09:05:45,COMPLETED
ORD-2026040,INV-1040,Ananya Iyer,18967.7,2026-09-23 04:05:45,COMPLETED
ORD-2026041,INV-1041,Ananya Iyer,6811.05,2026-09-18 01:05:45,COMPLETED
ORD-2026042,INV-1042,Kavya Nair,10693.65,2026-09-06 06:05:45,COMPLETED
ORD-2026043,INV-1043,Aditya Verma,19107.87,2026-09-19 07:05:45,COMPLETED
ORD-2026044,INV-1044,Rohan Mehta,9314.68,2026-09-09 04:05:45,COMPLETED
ORD-2026045,INV-1045,Rohan Mehta,4697.06,2026-09-09 01:05:45,COMPLETED
ORD-2026046,INV-1046,Kavya Nair,5924.17,2026-09-18 06:05:45,COMPLETED
ORD-2026047,INV-1047,Sneha Rao,9710.25,2026-09-23 01:05:45,COMPLETED
ORD-2026048,INV-1048,Priya Patel,4989.05,2026-09-13 09:05:45,COMPLETED
ORD-2026049,INV-1049,Rohan Mehta,6682.82,2026-09-20 02:05:45,COMPLETED
ORD-2026050,INV-1050,Rajesh Gupta,1836.5,2026-09-12 05:05:45,COMPLETED
ORD-2026051,INV-1051,Kavya Nair,7507.02,2026-09-23 04:05:45,COMPLETED
ORD-2026052,INV-1052,Rajesh Gupta,18910.35,2026-09-15 08:05:45,COMPLETED
ORD-2026053,INV-1053,Ananya Iyer,13380.48,2026-09-16 01:05:45,COMPLETED
ORD-2026054,INV-1054,Sneha Rao,17424.13,2026-09-13 08:05:45,COMPLETED
ORD-2026055,INV-1055,Sneha Rao,12268.59,2026-09-23 07:05:45,COMPLETED
ORD-2026056,INV-1056,Rajesh Gupta,11728.02,2026-09-13 07:05:45,COMPLETED
ORD-2026057,INV-1057,Rajesh Gupta,5572.71,2026-09-11 01:05:45,COMPLETED
ORD-2026058,INV-1058,Aditya Verma,6000.86,2026-09-19 08:05:45,COMPLETED
ORD-2026059,INV-1059,Meera Joshi,15823.78,2026-09-12 02:05:45,COMPLETED
ORD-2026060,INV-1060,Aarav Sharma,4608.14,2026-09-15 02:05:45,COMPLETED
ORD-2026061,INV-1061,Aarav Sharma,2128.96,2026-09-05 04:05:45,COMPLETED
ORD-2026062,INV-1062,Aarav Sharma,18550.73,2026-09-15 04:05:45,COMPLETED
ORD-2026063,INV-1063,Priya Patel,13701.78,2026-09-16 05:05:45,COMPLETED
ORD-2026064,INV-1064,Aarav Sharma,17204.85,2026-09-07 10:05:45,COMPLETED
ORD-2026065,INV-1065,Rohan Mehta,6003.87,2026-09-23 04:05:45,COMPLETED
ORD-2026066,INV-1066,Rajesh Gupta,18300.98,2026-09-16 06:05:45,COMPLETED
ORD-2026067,INV-1067,Meera Joshi,7644.57,2026-09-22 04:05:45,COMPLETED
ORD-2026068,INV-1068,Ananya Iyer,9067.27,2026-09-16 05:05:45,COMPLETED
ORD-2026069,INV-1069,Kavya Nair,9876.31,2026-09-19 09:05:45,COMPLETED
ORD-2026070,INV-1070,Kavya Nair,10863.74,2026-09-20 05:05:45,COMPLETED
ORD-2026071,INV-1071,Priya Patel,18367.64,2026-09-19 07:05:45,COMPLETED
ORD-2026072,INV-1072,Rajesh Gupta,4252.34,2026-09-05 03:05:45,COMPLETED
ORD-2026073,INV-1073,Priya Patel,15831.13,2026-09-15 04:05:45,COMPLETED
ORD-2026074,INV-1074,Meera Joshi,3076.07,2026-09-22 02:05:45,COMPLETED
ORD-2026075,INV-1075,Aarav Sharma,2531.41,2026-09-21 06:05:45,COMPLETED
ORD-2026076,INV-1076,Rajesh Gupta,15669.99,2026-09-23 01:05:45,COMPLETED
ORD-2026077,INV-1077,Aditya Verma,5566.61,2026-09-16 01:05:45,COMPLETED
ORD-2026078,INV-1078,Rohan Mehta,7302.5,2026-09-22 07:05:45,COMPLETED
ORD-2026079,INV-1079,Aarav Sharma,18588.04,2026-09-17 06:05:45,COMPLETED
ORD-2026080,INV-1080,Rohan Mehta,13292.79,2026-09-12 09:05:45,COMPLETED
